,Unnamed: 0,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
9943,9943,John Hoeven,SenJohnHoeven,2021-06-10T17:31:23.000Z,"It’s important we remain committed to protecting the unborn, and I joined my colleagues @JimInhofe &amp; @SteveDaines in urging Leadership to let us vote on the Protecting Individuals with Down Syndrome Act on the Senate floor. https://t.co/B1Oe5vTd54",$,$,"JimInhofe, SteveDaines",https://t.co/B1Oe5vTd54
9944,9944,John Hoeven,SenJohnHoeven,2021-06-10T15:22:02.000Z,"We’ve made good progress in updating our forces at @TeamMinot and that work needs to continue. Discussed that this week at our Defense Approps hearing + efforts to ensure the U.S. maintains a credible deterrent, staying ahead of the capabilities of our adversaries. https://t.co/VAinZZrfXy",$,$,TeamMinot,https://t.co/VAinZZrfXy
9945,9945,John Hoeven,SenJohnHoeven,2021-06-10T01:28:10.000Z,"Energy infrastructure is vital. At a time when the Biden administration is waiving sanctions on Russia’s Nord Stream 2 Pipeline, the EO that halted construction of Keystone XL pipeline has now led to a permanent loss of jobs and economic security. https://t.co/12lNuROXgM",$,$,$,https://t.co/12lNuROXgM
9946,9946,John Hoeven,SenJohnHoeven,2021-06-09T20:59:26.000Z,The Obama-era WOTUS rule was a significant overreach– a mistake that must not be repeated. We will continue working to preserve the NWPR and protect against one-size-fits-all federal regulations. https://t.co/Oi1Xo9h97N,$,$,$,https://t.co/Oi1Xo9h97N
9947,9947,John Hoeven,SenJohnHoeven,2021-06-06T13:25:17.000Z,"Today &amp; always, we honor the many sacrifices made during WWII and on the anniversary of #DDay, we remember the Allied forces who fought on behalf of freedom and liberty around the world. https://t.co/buXkpXO8Xk",$,DDay,$,https://t.co/buXkpXO8Xk
9948,9948,John Hoeven,SenJohnHoeven,2021-06-05T22:13:00.000Z,"No matter where or when, the members of @NDNationalGuard are always ready to serve. Today we commended the men and women of the 1st Battalion of the 188th Air Defense Artillery at a send-off ceremony in Grand Forks as they prepare to deploy to the NCR. https://t.co/bQgvJ5RIoU",$,$,NDNationalGuard,https://t.co/bQgvJ5RIoU
9949,9949,John Hoeven,SenJohnHoeven,2021-06-05T19:25:12.000Z,"It was an honor to celebrate Lynn’s birthday with him. He means so much to Mikey and me, the Minot community and our entire state. https://t.co/2nbbcmw0TC",$,$,$,https://t.co/2nbbcmw0TC
9950,9950,John Hoeven,SenJohnHoeven,2021-06-05T19:23:34.000Z,"Submitted a statement for the cong. record to recognize the hard work, dedication and service of Mr. Lynn Aas, Mr. John Sinn, and the entire Kiwanis Club of Minot as they celebrate their 100th birthdays this year. https://t.co/Vdpdtop84s",$,$,$,https://t.co/Vdpdtop84s
9951,9951,Kevin Cramer,SenKevinCramer,2021-06-12T00:00:37.000Z,"Grateful to see progress being made in getting our producers this assistance.

@USDA should get these payments into the hands of qualified applicants as quickly as possible. https://t.co/81qKvy2Ic8",$,$,USDA,https://t.co/81qKvy2Ic8
9952,9952,Kevin Cramer,SenKevinCramer,2021-06-11T19:45:00.000Z,"Discussed Over the Horizon Radar Testing during a @SASCGOP subcommittee hearing this week with General Glen VanHerck, @USNorthernCmd and @NORADCommand Commander. 

Watch our discussion here ⬇️ https://t.co/zOfPGvEWKX",$,$,"SASCGOP, USNorthernCmd, NORADCommand",https://t.co/zOfPGvEWKX
9953,9953,Kevin Cramer,SenKevinCramer,2021-06-11T17:00:00.000Z,"Joined a @NRFnews event to discuss ongoing infrastructure negotiations &amp; economic issues. 

I appreciate their insights on how to move the economy forward without harming our workers, consumers, or communities who rely on the economic benefits our small businesses have to offer. https://t.co/NyHbu0QVsU",$,$,NRFnews,https://t.co/NyHbu0QVsU
9954,9954,Kevin Cramer,SenKevinCramer,2021-06-10T22:56:15.000Z,"RT @newsmax: .@SenKevinCramer on the Keystone Pipeline: ""We're trying to stimulate the economy with a large infrastructure package, well, h…",newsmax,$,$,$
9955,9955,Kevin Cramer,SenKevinCramer,2021-06-10T21:15:00.000Z,"Voiced my concerns with @POTUS's military budget at today's @SASCGOP hearing. 

Our commanders need reliable intelligence capabilities, and it’s important we not create a gap between new systems and the systems we have now. https://t.co/OttBbx5vRr",$,$,"POTUSs, SASCGOP",https://t.co/OttBbx5vRr
