name:ID(Unified Twitter Taxonomy-ca),:LABEL
Linda Sanchez,Unified Twitter Taxonomy
Lindsey Graham,Unified Twitter Taxonomy
Liquor and spirits,Unified Twitter Taxonomy
Lisa Blunt Rochester,Unified Twitter Taxonomy
Lisa Murkowski,Unified Twitter Taxonomy
Liverpool FC,Unified Twitter Taxonomy
Liz Cheney,Unified Twitter Taxonomy
Lloyd Doggett,Unified Twitter Taxonomy
Lloyd Smucker,Unified Twitter Taxonomy
Loans,Unified Twitter Taxonomy
Lois Frankel,Unified Twitter Taxonomy
Los Angeles FC,Unified Twitter Taxonomy
Louie Gohmert,Unified Twitter Taxonomy
Louisiana State University,Unified Twitter Taxonomy
Lucille Roybal-Allard,Unified Twitter Taxonomy
Lunch,Unified Twitter Taxonomy
MLB,Unified Twitter Taxonomy
MLB World Series,Unified Twitter Taxonomy
MLB players,Unified Twitter Taxonomy
MLS,Unified Twitter Taxonomy
MSNBC,Unified Twitter Taxonomy
Maggie Haberman,Unified Twitter Taxonomy
Maggie Hassan,Unified Twitter Taxonomy
Maggie Oliver,Unified Twitter Taxonomy
Maine's 2nd Congressional District election,Unified Twitter Taxonomy
Mandela Barnes,Unified Twitter Taxonomy
Marc Veasey,Unified Twitter Taxonomy
Marco Rubio,Unified Twitter Taxonomy
Marcy Kaptur,Unified Twitter Taxonomy
Maria Bartiromo,Unified Twitter Taxonomy
Maria Cantwell,Unified Twitter Taxonomy
Mariannette Miller-Meeks,Unified Twitter Taxonomy
Marine life,Unified Twitter Taxonomy
Mario Diaz-Balart,Unified Twitter Taxonomy
Marjorie Taylor Greene,Unified Twitter Taxonomy
Mark Amodei,Unified Twitter Taxonomy
Mark DeSaulnier,Unified Twitter Taxonomy
Mark Gordon,Unified Twitter Taxonomy
Mark Kelly,Unified Twitter Taxonomy
Mark Pocan,Unified Twitter Taxonomy
Mark Takano,Unified Twitter Taxonomy
Mark Warner,Unified Twitter Taxonomy
Markwayne Mullin,Unified Twitter Taxonomy
Marsha Blackburn,Unified Twitter Taxonomy
Martha Raddatz,Unified Twitter Taxonomy
Martin Heinrich,Unified Twitter Taxonomy
Martin Luther King Jr.,Unified Twitter Taxonomy
Masters of the Universe,Unified Twitter Taxonomy
Matt Gaetz,Unified Twitter Taxonomy
Matt Rosendale,Unified Twitter Taxonomy
Matthew Cartwright,Unified Twitter Taxonomy
Maxine Waters,Unified Twitter Taxonomy
Mayra Flores,Unified Twitter Taxonomy
Mazie Hirono,Unified Twitter Taxonomy
Medical technology,Unified Twitter Taxonomy
Mehdi Hasan,Unified Twitter Taxonomy
Mehmet Oz,Unified Twitter Taxonomy
Memphis Grizzlies,Unified Twitter Taxonomy
Men's national soccer teams,Unified Twitter Taxonomy
Merrick Garland,Unified Twitter Taxonomy
Michael Bennet,Unified Twitter Taxonomy
Michael Burgess,Unified Twitter Taxonomy
Michael T. McCaul,Unified Twitter Taxonomy
Michael Turner,Unified Twitter Taxonomy
Michele Bachmann,Unified Twitter Taxonomy
Michigan State University,Unified Twitter Taxonomy
Michigan Wolverines,Unified Twitter Taxonomy
Michigan's 7th Congressional District election,Unified Twitter Taxonomy
Mike Bost,Unified Twitter Taxonomy
Mike Crapo,Unified Twitter Taxonomy
Mike Doyle,Unified Twitter Taxonomy
Mike Gallagher,Unified Twitter Taxonomy
Mike Huckabee,Unified Twitter Taxonomy
Mike Johnson,Unified Twitter Taxonomy
Mike Kelly,Unified Twitter Taxonomy
Mike Lee,Unified Twitter Taxonomy
Mike Quigley,Unified Twitter Taxonomy
Mike Rogers,Unified Twitter Taxonomy
Mike Rounds,Unified Twitter Taxonomy
Mike Simpson,Unified Twitter Taxonomy
Mike Thompson,Unified Twitter Taxonomy
Mikie Sherrill,Unified Twitter Taxonomy
Minnesota,Unified Twitter Taxonomy
Minnesota Vikings,Unified Twitter Taxonomy
Mississippi,Unified Twitter Taxonomy
Mitch McConnell,Unified Twitter Taxonomy
Mitt Romney,Unified Twitter Taxonomy
Mo Brooks,Unified Twitter Taxonomy
Monica De La Cruz,Unified Twitter Taxonomy
Morgan Griffith,Unified Twitter Taxonomy
Motherhood,Unified Twitter Taxonomy
Motorcycles,Unified Twitter Taxonomy
Movies,Unified Twitter Taxonomy
Movies & TV,Unified Twitter Taxonomy
Movies & TV events,Unified Twitter Taxonomy
Music,Unified Twitter Taxonomy
Music events,Unified Twitter Taxonomy
Music festivals,Unified Twitter Taxonomy
NASA,Unified Twitter Taxonomy
NBA,Unified Twitter Taxonomy
NBA players,Unified Twitter Taxonomy
NBC News,Unified Twitter Taxonomy
NCAA Football,Unified Twitter Taxonomy
"NCAA Men's Basketball""",Unified Twitter Taxonomy
"NCAA Women's Soccer""",Unified Twitter Taxonomy
NFL,Unified Twitter Taxonomy
NFL players,Unified Twitter Taxonomy
Nancy Pelosi,Unified Twitter Taxonomy
Nanette Barragan,Unified Twitter Taxonomy
